epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.22709,1.10875,1,1,0.7489,0.000175,0.000175,0.000175
2,14.3348,0.43096,1,1,0.1604,0.000344556,0.000344556,0.000344556
3,20.2579,0.0873,1,1,0.01746,0.00049555,0.00049555,0.00049555
4,26.3612,0.01859,1,1,0.00125,0.000627981,0.000627981,0.000627981
5,32.689,0.0062,1,1,0.0006,0.00074185,0.00074185,0.00074185
6,38.5617,0.00126,1,1,0.00028,0.000837156,0.000837156,0.000837156
7,44.6236,0.0006,1,1,0.00013,0.00087875,0.00087875,0.00087875
8,50.9792,0.00046,1,1,9e-05,0.000816875,0.000816875,0.000816875
9,57.0338,0.00017,1,1,0.0001,0.000755,0.000755,0.000755
10,62.7937,0.00015,1,1,8e-05,0.000693125,0.000693125,0.000693125
11,68.8973,0.00011,1,1,9e-05,0.00063125,0.00063125,0.00063125
12,75.2663,9e-05,1,1,8e-05,0.000569375,0.000569375,0.000569375
13,81.6359,6e-05,1,1,5e-05,0.0005075,0.0005075,0.0005075
14,87.9334,7e-05,1,1,6e-05,0.000445625,0.000445625,0.000445625
15,94.014,5e-05,1,1,5e-05,0.00038375,0.00038375,0.00038375
16,100.429,3e-05,1,1,5e-05,0.000321875,0.000321875,0.000321875
17,106.478,9e-05,1,1,4e-05,0.00026,0.00026,0.00026
18,112.516,4e-05,1,1,4e-05,0.000198125,0.000198125,0.000198125
19,118.479,7e-05,1,1,4e-05,0.00013625,0.00013625,0.00013625
20,124.747,3e-05,1,1,6e-05,7.4375e-05,7.4375e-05,7.4375e-05
