epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.47361,1.02313,1,1,0.53021,0.000225,0.000225,0.000225
2,18.1892,0.2446,1,1,0.03957,0.000439606,0.000439606,0.000439606
3,26.254,0.02766,1,1,0.00221,0.0006307,0.0006307,0.0006307
4,33.6735,0.00442,1,1,0.00049,0.000798281,0.000798281,0.000798281
5,41.792,0.00118,1,1,0.00014,0.00094235,0.00094235,0.00094235
6,48.9679,0.0004,1,1,0.00011,0.000940625,0.000940625,0.000940625
7,57.859,0.00015,1,1,6e-05,0.00087875,0.00087875,0.00087875
8,65.4518,0.00011,1,1,5e-05,0.000816875,0.000816875,0.000816875
9,73.5799,0.00027,1,1,4e-05,0.000755,0.000755,0.000755
10,82.5621,3e-05,1,1,4e-05,0.000693125,0.000693125,0.000693125
11,90.6492,5e-05,1,1,5e-05,0.00063125,0.00063125,0.00063125
12,98.533,4e-05,1,1,2e-05,0.000569375,0.000569375,0.000569375
13,106.882,4e-05,1,1,3e-05,0.0005075,0.0005075,0.0005075
14,114.854,4e-05,1,1,5e-05,0.000445625,0.000445625,0.000445625
15,122.892,3e-05,1,1,3e-05,0.00038375,0.00038375,0.00038375
16,130.723,3e-05,1,1,2e-05,0.000321875,0.000321875,0.000321875
17,138.773,4e-05,1,1,4e-05,0.00026,0.00026,0.00026
18,146.749,4e-05,1,1,3e-05,0.000198125,0.000198125,0.000198125
19,154.877,2e-05,1,1,3e-05,0.00013625,0.00013625,0.00013625
20,162.774,2e-05,1,1,3e-05,7.4375e-05,7.4375e-05,7.4375e-05
